date,generation_type,megawatt_hours
2011-02,nuclear steam turbine,399213.0
2011-02,wind power turbine,49797.0
2011-03,combustible fuels,156364.0
2011-03,hydraulic turbine,18047788.0
2011-03,nuclear steam turbine,439280.0
2011-03,wind power turbine,54710.0
2011-04,combustible fuels,124827.0
2011-04,hydraulic turbine,15070492.0
2011-04,nuclear steam turbine,348522.0
2011-04,wind power turbine,58145.0
2011-05,combustible fuels,133786.0
2011-05,hydraulic turbine,14311185.0
2011-05,nuclear steam turbine,421984.0
2011-05,wind power turbine,37797.0
2011-06,combustible fuels,112808.0
2011-06,hydraulic turbine,13925022.0
2011-06,nuclear steam turbine,310581.0
2011-06,wind power turbine,22822.0
2011-07,combustible fuels,118679.0
2011-07,hydraulic turbine,15060386.0
2011-07,nuclear steam turbine,408727.0
2011-07,wind power turbine,29829.0
2011-08,combustible fuels,136692.0
2011-08,hydraulic turbine,14272867.0
2011-08,nuclear steam turbine,299624.0
2011-08,wind power turbine,35974.0
2011-09,combustible fuels,128035.0
2011-09,hydraulic turbine,13155907.0
2011-09,nuclear steam turbine,-4306.0
2011-09,wind power turbine,53015.0
2011-10,combustible fuels,121201.0
2011-10,hydraulic turbine,13918823.0
2011-10,nuclear steam turbine,-5061.0
2011-10,wind power turbine,63646.0
2011-11,combustible fuels,124067.0
2011-11,hydraulic turbine,14919886.0
2011-11,nuclear steam turbine,-6620.0
2011-11,wind power turbine,88093.0
2011-12,combustible fuels,133347.0
2011-12,hydraulic turbine,19517377.0
2011-12,nuclear steam turbine,199088.0
2011-12,wind power turbine,64341.0
2012-01,combustible fuels,143203.0
2012-01,hydraulic turbine,20627602.0
2012-01,nuclear steam turbine,417784.0
2012-01,wind power turbine,72874.0
2012-02,combustible fuels,133367.0
2012-02,hydraulic turbine,17703957.0
2012-02,nuclear steam turbine,394801.0
2012-02,wind power turbine,61662.0
2012-03,combustible fuels,143736.0
2012-03,hydraulic turbine,16862134.0
2012-03,nuclear steam turbine,423638.0
2012-03,wind power turbine,73554.0
2012-04,combustible fuels,110828.0
2012-04,hydraulic turbine,15343059.0
2012-04,nuclear steam turbine,410896.0
2012-04,wind power turbine,55708.0
2012-05,combustible fuels,102749.0
2012-05,hydraulic turbine,14272926.0
2012-05,nuclear steam turbine,334941.0
2012-05,wind power turbine,47333.0
2012-06,combustible fuels,96071.0
2012-06,hydraulic turbine,13543388.0
2012-06,nuclear steam turbine,388833.0
2012-06,wind power turbine,38253.0
2012-07,combustible fuels,124878.0
2012-07,hydraulic turbine,14819531.0
2012-07,nuclear steam turbine,352573.0
2012-07,wind power turbine,38070.0
2012-08,combustible fuels,143867.0
2012-08,hydraulic turbine,15219846.0
2012-08,nuclear steam turbine,-5313.0
2012-08,wind power turbine,34741.0
2012-09,combustible fuels,79509.0
2012-09,hydraulic turbine,14011871.0
2012-09,nuclear steam turbine,20585.0
2012-09,wind power turbine,45694.0
2012-10,combustible fuels,114021.0
2012-10,hydraulic turbine,16023077.0
2012-10,nuclear steam turbine,417713.0
2012-10,wind power turbine,73898.0
2012-11,combustible fuels,134182.0
2012-11,hydraulic turbine,16698270.0
2012-11,nuclear steam turbine,404857.0
2012-11,wind power turbine,62436.0
2012-12,combustible fuels,111168.0
2012-12,hydraulic turbine,18548908.0
2012-12,nuclear steam turbine,344774.0
2012-12,wind power turbine,57976.0
2013-01,combustible fuels,117934.0
2013-01,hydraulic turbine,21070878.0
2013-01,nuclear steam turbine,-7443.0
2013-01,wind power turbine,86619.0
2013-02,combustible fuels,93238.0
2013-02,hydraulic turbine,19217887.0
2013-02,nuclear steam turbine,-6580.0
2013-02,wind power turbine,51238.0
2013-03,combustible fuels,118229.0
2013-03,hydraulic turbine,19062069.0
2013-03,nuclear steam turbine,-6519.0
2013-03,wind power turbine,61143.0
2013-04,combustible fuels,104071.0
2013-04,hydraulic turbine,16593284.0
2013-04,nuclear steam turbine,-6011.0
2013-04,wind power turbine,68271.0
2013-05,combustible fuels,97322.0
2013-05,hydraulic turbine,14705534.0
2013-05,nuclear steam turbine,-5439.0
2013-05,wind power turbine,50717.0
2013-06,combustible fuels,86220.0
2013-06,hydraulic turbine,15122692.0
2013-06,nuclear steam turbine,-5214.0
2013-06,wind power turbine,35747.0
2013-07,combustible fuels,98056.0
