date,generation_type,megawatt_hours
2012-06,hydraulic turbine,17334.0
2012-06,wind power turbine,0.0
2012-07,combustible fuels,28078.0
2012-07,hydraulic turbine,20301.0
2012-07,wind power turbine,0.0
2012-08,combustible fuels,29688.0
2012-08,hydraulic turbine,16864.0
2012-08,wind power turbine,0.0
2012-09,combustible fuels,28780.0
2012-09,hydraulic turbine,15952.0
2012-09,wind power turbine,0.0
2012-10,combustible fuels,32330.0
2012-10,hydraulic turbine,22146.0
2012-10,wind power turbine,0.0
2012-11,combustible fuels,31753.0
2012-11,hydraulic turbine,24124.0
2012-11,wind power turbine,1077.0
2012-12,combustible fuels,34943.0
2012-12,hydraulic turbine,25792.0
2012-12,wind power turbine,120.0
2013-01,combustible fuels,37154.0
2013-01,hydraulic turbine,29901.0
2013-01,wind power turbine,279.0
2013-02,combustible fuels,31360.0
2013-02,hydraulic turbine,23201.0
2013-02,wind power turbine,1260.0
2013-03,combustible fuels,32685.0
2013-03,hydraulic turbine,22525.0
2013-03,wind power turbine,1501.0
2013-04,combustible fuels,29844.0
2013-04,hydraulic turbine,22424.0
2013-04,wind power turbine,1540.0
2013-05,combustible fuels,28004.0
2013-05,hydraulic turbine,19826.0
2013-05,wind power turbine,1690.0
2013-06,combustible fuels,27404.0
2013-06,hydraulic turbine,16545.0
2013-06,wind power turbine,1139.0
2013-07,combustible fuels,27922.0
2013-07,hydraulic turbine,19323.0
2013-07,wind power turbine,1560.0
2013-08,combustible fuels,29615.0
2013-08,hydraulic turbine,16023.0
2013-08,wind power turbine,683.0
2013-09,combustible fuels,27804.0
2013-09,hydraulic turbine,18806.0
2013-09,wind power turbine,1681.0
2013-10,combustible fuels,29232.0
2013-10,hydraulic turbine,20785.0
2013-10,wind power turbine,1846.0
2013-11,combustible fuels,32617.0
2013-11,hydraulic turbine,22742.0
2013-11,wind power turbine,1258.0
2013-12,combustible fuels,36171.0
2013-12,hydraulic turbine,27003.0
2013-12,wind power turbine,1376.0
2014-01,combustible fuels,35516.0
2014-01,hydraulic turbine,26715.0
2014-01,wind power turbine,1910.0
2014-02,combustible fuels,31511.0
2014-02,hydraulic turbine,23155.0
2014-02,wind power turbine,1771.0
2014-03,combustible fuels,32948.0
2014-03,hydraulic turbine,24537.0
2014-03,wind power turbine,1994.0
2014-04,combustible fuels,31212.0
2014-04,hydraulic turbine,20739.0
2014-04,wind power turbine,1765.0
2014-05,combustible fuels,27572.0
2014-05,hydraulic turbine,18590.0
2014-05,wind power turbine,1556.0
2014-06,combustible fuels,28184.0
2014-06,hydraulic turbine,18248.0
2014-06,wind power turbine,1031.0
2014-07,combustible fuels,30400.0
2014-07,hydraulic turbine,16547.0
2014-07,wind power turbine,1124.0
2014-08,combustible fuels,34262.0
2014-08,hydraulic turbine,10429.0
2014-08,wind power turbine,1279.0
2014-09,combustible fuels,31954.0
2014-09,hydraulic turbine,15536.0
2014-09,wind power turbine,1852.0
2014-10,combustible fuels,43331.0
2014-10,hydraulic turbine,10630.0
2014-10,wind power turbine,1492.0
2014-11,combustible fuels,37654.0
2014-11,hydraulic turbine,15843.0
2014-11,wind power turbine,2182.0
2014-12,combustible fuels,38379.0
2014-12,hydraulic turbine,22013.0
2014-12,wind power turbine,1898.0
2015-01,combustible fuels,38089.0
2015-01,hydraulic turbine,20248.0
2015-01,wind power turbine,2945.0
2015-02,combustible fuels,37151.0
2015-02,hydraulic turbine,10853.0
2015-02,wind power turbine,1768.0
2015-03,combustible fuels,40818.0
2015-03,hydraulic turbine,14952.0
2015-03,wind power turbine,1639.0
2015-04,combustible fuels,35726.0
2015-04,hydraulic turbine,14086.0
2015-04,wind power turbine,1694.0
2015-05,combustible fuels,34179.0
2015-05,hydraulic turbine,12856.0
2015-05,wind power turbine,1432.0
2015-06,combustible fuels,35175.0
2015-06,hydraulic turbine,13588.0
2015-06,wind power turbine,1425.0
2015-07,combustible fuels,35628.0
2015-07,hydraulic turbine,8965.0
2015-07,wind power turbine,1115.0
2015-08,combustible fuels,39746.0
2015-08,hydraulic turbine,6519.0
2015-08,wind power turbine,1454.0
2015-09,combustible fuels,36012.0
2015-09,hydraulic turbine,8624.0
2015-09,wind power turbine,2667.0
2015-10,combustible fuels,38226.0
2015-10,hydraulic turbine,12406.0
2015-10,wind power turbine,1548.0
2015-11,combustible fuels,35472.0
2015-11,hydraulic turbine,15843.0
2015-11,wind power turbine,1686.0
2015-12,combustible fuels,38047.0
2015-12,hydraulic turbine,19370.0
2015-12,wind power turbine,1470.0
2016-01,combustible fuels,50567.0
2016-01,hydraulic turbine,22420.0
2016-01,solar,0.0
2016-01,wind power turbine,824.0
2016-02,combustible fuels,49443.0
2016-02,hydraulic turbine,21121.0
2016-02,solar,5.0
2016-02,wind power turbine,993.0
2016-03,combustible fuels,47543.0
2016-03,hydraulic turbine,20691.0
2016-03,solar,8.0
2016-03,wind power turbine,1141.0
2016-04,combustible fuels,43441.0
2016-04,hydraulic turbine,20346.0
2016-04,solar,29.0
2016-04,wind power turbine,1408.0
2016-05,combustible fuels,48920.0
2016-05,hydraulic turbine,19823.0
2016-05,solar,52.0
2016-05,wind power turbine,1424.0
2016-06,combustible fuels,40585.0
2016-06,hydraulic turbine,18075.0
2016-06,solar,47.0
2016-06,wind power turbine,2290.0
2016-07,combustible fuels,38465.0
2016-07,hydraulic turbine,18315.0
2016-07,solar,39.0
2016-07,wind power turbine,1357.0
2016-08,combustible fuels,42996.0
2016-08,hydraulic turbine,17467.0
2016-08,solar,35.0
2016-08,wind power turbine,781.0
2016-09,combustible fuels,38849.0
2016-09,hydraulic turbine,19356.0
2016-09,solar,25.0
2016-09,wind power turbine,1675.0
2016-10,combustible fuels,50073.0
2016-10,hydraulic turbine,20780.0
2016-10,solar,8.0
2016-10,wind power turbine,957.0
2016-11,combustible fuels,49995.0
2016-11,hydraulic turbine,21152.0
2016-11,solar,3.0
2016-11,wind power turbine,923.0
2016-12,combustible fuels,50581.0
2016-12,hydraulic turbine,23645.0
2016-12,solar,6.0
2016-12,wind power turbine,791.0
2017-01,combustible fuels,51025.0
2017-01,hydraulic turbine,25031.0
2017-01,solar,1.0
2017-01,wind power turbine,1572.0
2017-02,combustible fuels,46056.0
2017-02,hydraulic turbine,22536.0
2017-02,solar,1.0
2017-02,wind power turbine,1260.0
2017-03,combustible fuels,45544.0
2017-03,hydraulic turbine,23218.0
2017-03,solar,12.0
2017-03,wind power turbine,2272.0
2017-04,combustible fuels,34432.0
2017-04,hydraulic turbine,18959.0
2017-04,solar,45.0
2017-04,wind power turbine,1519.0
2017-05,combustible fuels,37439.0
2017-05,hydraulic turbine,20219.0
2017-05,solar,52.0
2017-05,wind power turbine,1896.0
2017-06,combustible fuels,34120.0
2017-06,hydraulic turbine,17911.0
2017-06,solar,45.0
2017-06,wind power turbine,1325.0
2017-07,combustible fuels,34521.0
2017-07,hydraulic turbine,19105.0
2017-07,solar,40.0
2017-07,wind power turbine,1425.0
2017-08,combustible fuels,37280.0
2017-08,hydraulic turbine,17577.0
2017-08,solar,39.0
2017-08,wind power turbine,961.0
2017-09,combustible fuels,43269.0
2017-09,hydraulic turbine,17633.0
2017-09,solar,26.0
2017-09,wind power turbine,1307.0
2017-10,combustible fuels,41033.0
2017-10,hydraulic turbine,21582.0
2017-10,solar,24.0
2017-10,wind power turbine,1155.0
2017-11,combustible fuels,41135.0
2017-11,hydraulic turbine,23013.0
2017-11,solar,3.0
2017-11,wind power turbine,1210.0
2017-12,combustible fuels,43035.0
2017-12,hydraulic turbine,23326.0
2017-12,solar,1.0
2017-12,wind power turbine,1289.0
2018-01,combustible fuels,47358.0
2018-01,hydraulic turbine,26704.0
2018-01,solar,0.0
2018-01,wind power turbine,1351.0
2018-02,combustible fuels,40901.0
2018-02,hydraulic turbine,22624.0
2018-02,solar,4.0
2018-02,wind power turbine,1955.0
2018-03,combustible fuels,40201.0
2018-03,hydraulic turbine,22016.0
2018-03,solar,25.0
2018-03,wind power turbine,1645.0
2018-04,combustible fuels,35125.0
2018-04,hydraulic turbine,19859.0
2018-04,solar,37.0
2018-04,wind power turbine,1251.0
2018-05,combustible fuels,37290.0
2018-05,hydraulic turbine,18101.0
2018-05,solar,50.0
2018-05,wind power turbine,1165.0
