date,generation_type,megawatt_hours
2011-03,other types of electricity generation,0.0
2011-03,wind power turbine,67713.0
2011-04,combustible fuels,1280793.0
2011-04,hydraulic turbine,451280.0
2011-04,other types of electricity generation,0.0
2011-04,wind power turbine,51877.0
2011-05,combustible fuels,1181025.0
2011-05,hydraulic turbine,590654.0
2011-05,other types of electricity generation,0.0
2011-05,wind power turbine,44454.0
2011-06,combustible fuels,1086762.0
2011-06,hydraulic turbine,526128.0
2011-06,other types of electricity generation,0.0
2011-06,wind power turbine,38763.0
2011-07,combustible fuels,1185521.0
2011-07,hydraulic turbine,548994.0
2011-07,other types of electricity generation,0.0
2011-07,wind power turbine,44225.0
2011-08,combustible fuels,1338833.0
2011-08,hydraulic turbine,411749.0
2011-08,other types of electricity generation,0.0
2011-08,wind power turbine,37284.0
2011-09,combustible fuels,1352100.0
2011-09,hydraulic turbine,328032.0
2011-09,other types of electricity generation,0.0
2011-09,wind power turbine,64455.0
2011-10,combustible fuels,1326515.0
2011-10,hydraulic turbine,282300.0
2011-10,other types of electricity generation,0.0
2011-10,wind power turbine,65524.0
2011-11,combustible fuels,1453998.0
2011-11,hydraulic turbine,270530.0
2011-11,other types of electricity generation,0.0
2011-11,wind power turbine,86555.0
2011-12,combustible fuels,1587561.0
2011-12,hydraulic turbine,294532.0
2011-12,other types of electricity generation,0.0
2011-12,wind power turbine,106063.0
2012-01,combustible fuels,1514553.0
2012-01,hydraulic turbine,322651.0
2012-01,other types of electricity generation,0.0
2012-01,wind power turbine,102997.0
2012-02,combustible fuels,1457414.0
2012-02,hydraulic turbine,286697.0
2012-02,other types of electricity generation,0.0
2012-02,wind power turbine,56395.0
2012-03,combustible fuels,1503780.0
2012-03,hydraulic turbine,272214.0
2012-03,other types of electricity generation,0.0
2012-03,wind power turbine,81767.0
2012-04,combustible fuels,1326353.0
2012-04,hydraulic turbine,296739.0
2012-04,other types of electricity generation,0.0
2012-04,wind power turbine,69275.0
2012-05,combustible fuels,1283381.0
2012-05,hydraulic turbine,395621.0
2012-05,other types of electricity generation,0.0
2012-05,wind power turbine,59202.0
2012-06,combustible fuels,1218347.0
2012-06,hydraulic turbine,442753.0
